Date ,Time,Amount,Transaction Type,Device Type,Country,Region,Ip_Address,Is Foreign Transaction?,Is High Risk Country,Has Fraud History,Device Trust Score,User Age,User Tenure,Numer of Previous transactions,Average Transaction Amount,Time since last transaction,Risk Score,Transaction Amount (z Score),Is Fraud
26-06-2025,22:40:00,77.39,transfer,mobile,Germany,Europe,208.51.84.190,0,0,0,0.66,30,11,116,115.92,296.36,26.3126,-0.351102552,1
22-03-2025,20:23:00,187.62,purchase,mobile,Japan,Asia,200.38.44.150,1,0,0,0.87,34,126,627,88.3,26.16,48.7812,0.577016874,0
16-06-2025,01:17:00,17.2,withdrawal,tablet,Japan,Asia,40.238.37.115,1,0,0,0.76,45,86,654,68.94,60.95,8.256,-0.857892975,0
21-05-2025,06:33:00,44.63,purchase,desktop,Brazil,South America,211.222.3.30,1,0,1,0.64,37,93,290,34.13,242.01,32.1336,-0.626936648,0
25-04-2025,05:38:00,114.77,deposit,tablet,China,Asia,209.89.197.89,1,0,0,0.9,72,34,238,83.07,198.85,22.954,-0.036368776,0
20-02-2025,08:47:00,140.91,withdrawal,tablet,Brazil,South America,150.24.103.242,1,0,0,0.75,68,67,276,104.47,75.49,70.455,0.183725951,0
18-05-2025,12:22:00,62.13,purchase,mobile,South Africa,Africa,17.105.83.116,1,0,0,0.54,70,58,831,89.43,14.48,57.1596,-0.479589375,0
07-06-2025,08:30:00,249.89,transfer,mobile,South Korea,Asia,6.85.117.125,1,0,0,0.65,22,11,78,99.45,276.29,174.923,1.101320572,0
14-05-2025,19:55:00,64.44,deposit,mobile,France,Europe,194.43.237.2,1,0,0,0.67,41,50,338,71.96,650.3,42.5304,-0.460139535,0
16-06-2025,11:04:00,61.86,deposit,tablet,Australia,Oceania,8.47.173.192,1,0,0,1,26,110,35,119.22,439.36,0,-0.481862733,0
20-04-2025,08:42:00,4.43,deposit,desktop,Canada,North America,210.28.228.230,1,0,0,0.72,50,101,63,82.77,67.43,2.4808,-0.965414385,0
18-06-2025,16:13:00,96.13,deposit,desktop,India,Asia,41.101.225.41,1,0,0,0.56,51,10,849,129.34,358.65,84.5944,-0.193314672,0
29-01-2025,10:32:00,148,transfer,tablet,South Korea,Asia,45.30.110.179,1,0,0,0.73,63,102,688,107.63,78.98,79.92,0.243422647,0
25-03-2025,09:08:00,14.58,transfer,desktop,Nigeria,Africa,184.210.26.42,1,0,0,0.85,44,8,173,112.93,434.05,4.374,-0.879952966,0
01-05-2025,10:53:00,43.74,withdrawal,tablet,India,Asia,32.141.122.217,1,0,0,0.74,54,158,727,109.24,422.62,22.7448,-0.63443031,0
11-02-2025,09:41:00,182.38,transfer,desktop,Japan,Asia,192.141.156.133,1,0,0,0.91,50,164,726,93.03,74.93,32.8284,0.53289689,0
18-04-2025,07:50:00,54.67,transfer,tablet,United States,North America,149.184.97.131,1,0,0,0.86,65,30,945,101.54,5.99,15.3076,-0.542401412,0
28-04-2025,16:32:00,33.19,deposit,desktop,Brazil,South America,129.254.67.169,1,0,0,0.85,55,95,31,93.89,221.97,9.957,-0.723259666,0
22-01-2025,00:34:00,133.84,transfer,mobile,Japan,Asia,202.242.161.19,1,0,1,0.85,46,105,541,130.38,299.19,40.152,0.124197653,0
17-04-2025,17:55:00,26.29,deposit,mobile,Russia,Europe/Asia,192.153.10.218,1,0,0,0.94,55,147,281,62.57,95.87,3.1548,-0.781356591,0
19-04-2025,03:01:00,271.2,purchase,mobile,United States,North America,98.200.121.174,1,1,0,0.91,52,49,224,142.96,162.48,49.816,1.280747452,0
03-01-2025,04:56:00,13.39,purchase,mobile,Argentina,South America,205.194.22.20,1,0,0,0.59,37,77,223,76.8,184.22,10.9798,-0.889972581,0
06-06-2025,07:50:00,147.13,purchase,tablet,Argentina,South America,129.208.227.189,1,0,0,0.59,36,113,262,104.14,390.97,120.6466,0.236097382,0
14-03-2025,10:52:00,83.07,purchase,desktop,Canada,North America,214.12.130.24,1,0,0,0.84,22,153,549,92.94,65.02,26.5824,-0.303277837,0
03-04-2025,02:56:00,244.76,purchase,tablet,Russia,Europe/Asia,177.5.13.164,1,0,0,0.62,42,139,145,107.14,29.04,186.0176,1.058126771,0
15-02-2025,04:28:00,16.19,purchase,mobile,China,Asia,216.189.60.89,1,0,0,0.58,46,30,287,109.22,94.35,13.5996,-0.866397017,0
25-03-2025,06:59:00,135.95,purchase,desktop,South Korea,Asia,199.63.54.152,1,0,0,0.88,43,71,58,118.81,206.67,32.628,0.141963524,0
03-04-2025,03:53:00,101.85,deposit,tablet,Indonesia,Asia,143.78.46.128,1,0,0,0.69,63,35,405,85.5,44.85,63.147,-0.145153163,0
21-04-2025,10:16:00,78.49,deposit,mobile,Argentina,South America,157.183.254.194,1,0,0,0.86,68,171,130,132.68,77.93,21.9772,-0.341840724,0
16-06-2025,06:08:00,81.13,deposit,desktop,Singapore,Asia,80.16.133.251,1,0,0,0.84,19,179,263,125.13,205.39,25.9616,-0.319612335,0
20-01-2025,07:41:00,153.61,deposit,desktop,Argentina,South America,208.106.188.190,1,0,0,0.75,32,46,347,90.17,383.46,76.805,0.290657973,0
21-03-2025,18:45:00,333.18,transfer,mobile,United Kingdom,Europe,93.180.140.88,1,0,0,0.88,62,32,150,148.6,8.14,79.9632,1.802609396,0
22-01-2025,20:08:00,11.48,transfer,mobile,Japan,Asia,135.241.74.180,1,0,0,0.83,23,145,4,80.05,253.74,3.9032,-0.906054483,0
02-06-2025,09:45:00,2.36,withdrawal,desktop,UAE,Middle East,141.173.96.64,1,0,0,0.88,18,179,987,117.06,145.33,0.5664,-0.982843463,0
16-01-2025,20:45:00,196.61,transfer,mobile,Indonesia,Asia,173.206.242.241,1,0,0,0.54,26,156,499,99.96,247.85,180.8812,0.652711273,0
29-05-2025,00:02:00,13.74,deposit,tablet,Nigeria,Africa,135.140.247.134,1,0,0,0.73,60,85,301,77.69,306.92,7.4196,-0.887025636,0
17-05-2025,21:39:00,518.37,deposit,mobile,Mexico,North America,206.150.147.182,1,0,0,0.54,33,51,992,162.24,11.31,476.9004,3.361880343,0
09-03-2025,20:23:00,115.9,purchase,mobile,Germany,Europe,148.215.151.94,0,0,0,0.7,31,19,597,105.08,231.92,34.77,-0.026854352,0
12-06-2025,13:46:00,126.28,purchase,mobile,UAE,Middle East,52.122.159.210,1,0,0,0.6,27,97,99,87.58,871.23,101.024,0.060543631,0
19-01-2025,19:37:00,26.61,withdrawal,desktop,France,Europe,213.72.87.160,1,0,0,0.6,36,75,713,102.51,164.79,21.288,-0.778662241,0
20-01-2025,03:13:00,32.98,transfer,desktop,South Africa,Africa,40.94.7.150,1,0,0,0.76,68,135,92,119.76,731.65,15.8304,-0.725027833,0
31-01-2025,08:31:00,129.23,deposit,mobile,United Kingdom,Europe,182.152.30.154,1,0,0,0.99,25,136,502,72.96,1066.9,2.5846,0.085382171,0
25-05-2025,16:38:00,288.59,transfer,desktop,United States,North America,217.51.138.55,1,0,0,0.8,65,158,650,96.43,289.89,115.436,1.427168543,0
27-06-2025,00:16:00,484.72,withdrawal,mobile,France,Europe,109.43.18.38,1,0,0,0.79,29,7,370,112.98,218.44,203.5824,3.078552586,0
01-05-2025,11:37:00,26.48,purchase,tablet,Argentina,South America,165.188.109.5,1,0,0,0.54,23,58,727,111.95,444.78,24.3616,-0.77975682,0
21-02-2025,16:40:00,17.28,deposit,desktop,South Africa,Africa,77.235.35.111,1,0,0,1,52,86,664,101.51,467.16,0,-0.857219387,0
27-03-2025,00:36:00,6.97,purchase,mobile,Singapore,Asia,25.105.14.104,1,0,0,0.78,23,27,313,43.61,293.14,3.0668,-0.944027981,0
18-05-2025,05:37:00,243.26,deposit,desktop,Singapore,Asia,44.135.125.56,1,0,0,0.92,23,40,496,84.04,0.12,38.9216,1.045497005,0
10-02-2025,22:33:00,41.9,purchase,tablet,India,Asia,178.63.210.173,1,0,0,0.68,52,100,644,120.17,317.37,26.816,-0.649922823,0
28-02-2025,15:18:00,0.22,purchase,tablet,UAE,Middle East,190.2.24.47,1,0,0,0.85,61,109,337,128.64,638.69,0.066,-1.000861929,0
02-05-2025,22:25:00,30.4,withdrawal,mobile,Brazil,South America,197.161.71.78,1,1,0,0.54,28,164,176,99.61,21.1,28.968,-0.746751031,0
07-03-2025,15:42:00,49.94,transfer,desktop,Singapore,Asia,128.42.43.196,1,0,0,0.8,55,19,216,87.39,106.5,19.976,-0.582227276,0
24-06-2025,19:17:00,565.08,purchase,tablet,Australia,Oceania,155.52.100.28,1,0,0,0.86,44,125,58,102.66,583.41,158.2224,3.755171265,0
07-02-2025,06:10:00,88.96,deposit,desktop,South Korea,Asia,207.139.169.123,1,0,0,1,43,91,385,123.9,294.39,0,-0.253684955,0
16-03-2025,23:53:00,27.49,transfer,mobile,United States,North America,211.104.18.229,1,0,0,1,45,70,357,92.22,36.37,0,-0.771252778,0
02-05-2025,23:14:00,48.92,transfer,tablet,Germany,Europe,166.113.158.241,0,1,0,0.87,25,80,194,172.51,272.42,7.3596,-0.590815517,0
01-05-2025,18:13:00,48.11,purchase,tablet,India,Asia,193.43.133.45,1,0,0,0.57,42,24,808,50.11,288.76,41.3746,-0.59763559,0
07-03-2025,06:03:00,2.39,purchase,desktop,Japan,Asia,47.240.226.38,1,0,0,0.68,36,152,560,121,34.82,1.5296,-0.982590867,0
10-02-2025,01:44:00,17.43,purchase,tablet,India,Asia,72.217.62.112,1,0,0,0.68,33,158,181,86.11,56.58,11.1552,-0.85595641,0
21-02-2025,18:55:00,142.57,transfer,mobile,Brazil,South America,60.226.49.236,1,0,0,0.93,67,167,262,61.76,262.65,19.9598,0.197702893,0
01-05-2025,01:42:00,15.37,withdrawal,mobile,Canada,North America,76.27.99.160,1,0,0,0.75,43,173,910,107.07,159.79,7.685,-0.87330129,0
27-02-2025,12:51:00,31.48,purchase,tablet,Nigeria,Africa,211.130.209.67,1,0,0,0.79,61,99,759,95.39,78.8,13.2216,-0.737657599,0
03-05-2025,20:55:00,51.83,transfer,mobile,Germany,Europe,64.51.190.214,0,0,0,1,32,177,62,86.92,295.93,0,-0.56631377,0
04-04-2025,05:19:00,170.13,transfer,tablet,South Africa,Africa,181.128.199.231,1,0,0,0.73,56,163,36,82.32,35.04,91.8702,0.429753799,0
25-01-2025,15:54:00,104.79,deposit,tablet,Argentina,South America,82.61.97.117,1,0,0,0.6,29,148,789,93.85,36.04,83.832,-0.120398821,0
19-03-2025,08:51:00,140.16,purchase,tablet,Canada,North America,107.179.57.152,1,0,0,0.83,41,36,665,104.47,3.13,47.6544,0.177411068,0
17-03-2025,15:20:00,100.45,withdrawal,tablet,Russia,Europe/Asia,185.53.129.145,1,0,0,0.61,30,114,566,110.69,318.42,78.351,-0.156940945,0
03-05-2025,03:12:00,138.09,deposit,desktop,Argentina,South America,186.13.48.145,1,0,0,0.64,74,147,456,140.52,803.25,99.4248,0.159981991,0
10-01-2025,02:31:00,0.34,purchase,tablet,Nigeria,Africa,204.69.192.156,1,0,0,0.75,34,168,628,132.34,6.24,0.17,-0.999851548,0
04-02-2025,10:16:00,320.66,deposit,mobile,Saudi Arabia,Middle East,182.231.175.121,1,0,0,1,30,109,539,96.56,154.14,0,1.697192946,0
28-05-2025,02:36:00,14.11,purchase,desktop,South Korea,Asia,85.118.21.232,1,0,0,0.7,34,89,78,54.16,57.83,8.466,-0.883910293,0
30-05-2025,02:15:00,62.56,deposit,mobile,UAE,Middle East,209.8.163.65,1,0,0,0.84,60,114,644,79.5,311.74,20.0192,-0.475968842,0
12-05-2025,11:34:00,176.9,withdrawal,tablet,South Korea,Asia,140.214.213.182,1,0,1,0.72,18,22,110,166.99,177.95,99.064,0.486756144,0
27-06-2025,06:32:00,68.56,deposit,mobile,Russia,Europe/Asia,211.78.93.168,1,0,0,0.77,28,151,776,149.88,267.32,31.5376,-0.425449777,0
09-02-2025,10:13:00,352.14,deposit,desktop,Canada,North America,59.196.201.77,1,0,0,0.96,37,152,987,108.54,550.16,28.1712,1.962249642,0
20-02-2025,21:38:00,75.64,deposit,mobile,Argentina,South America,139.151.59.104,1,0,0,0.86,48,39,467,88.71,252.43,21.1792,-0.36583728,0
30-01-2025,00:21:00,249.47,purchase,desktop,Brazil,South America,168.195.209.30,1,0,0,0.76,61,87,990,72.32,230.28,119.7456,1.097784238,0
19-02-2025,13:48:00,199.81,purchase,tablet,Australia,Oceania,153.38.41.94,1,0,0,0.71,52,38,988,90.69,46.5,115.8898,0.679654775,0
17-03-2025,21:29:00,475.51,withdrawal,tablet,Brazil,South America,159.52.45.235,1,0,0,0.98,56,127,219,104.4,186.05,19.0204,3.001005821,0
20-02-2025,09:15:00,313.33,deposit,mobile,South Africa,Africa,99.18.13.112,1,0,0,1,23,175,957,72.95,296.43,0,1.635475488,0
08-01-2025,13:46:00,274.08,transfer,mobile,Argentina,South America,158.56.40.37,1,0,0,0.76,52,135,638,55.52,367.73,131.5584,1.304996603,1
20-05-2025,04:36:00,157.84,deposit,tablet,South Korea,Asia,196.207.10.163,1,0,0,0.88,45,103,805,69.27,25.65,37.8816,0.326273914,0
27-03-2025,22:56:00,54.87,transfer,tablet,China,Asia,66.93.131.76,1,0,1,0.92,68,172,940,143.17,346.46,8.7792,-0.540717444,1
07-05-2025,18:02:00,13.46,transfer,mobile,Nigeria,Africa,160.179.191.57,1,0,0,0.64,70,169,643,94.08,65.38,9.6912,-0.889383192,0
02-04-2025,04:12:00,140.02,deposit,tablet,China,Asia,23.58.204.127,1,0,0,0.72,69,107,689,106.89,324.57,78.4112,0.17623229,0
25-05-2025,12:34:00,461.63,transfer,desktop,Russia,Europe/Asia,216.202.144.139,1,1,0,0.86,58,170,796,108.21,98.4,130.2564,2.884138383,0
29-05-2025,21:20:00,155.62,transfer,desktop,UAE,Middle East,196.66.46.22,1,0,0,0.79,61,74,467,106.35,268.09,65.3604,0.307581859,0
15-01-2025,23:45:00,316.95,deposit,mobile,South Korea,Asia,157.17.152.248,1,0,0,0.66,18,48,614,63.5,50.62,215.526,1.665955324,0
07-06-2025,00:05:00,195.74,purchase,mobile,Mexico,North America,110.86.113.172,1,0,1,0.66,33,122,475,145.45,967.42,133.1032,0.645386009,0
23-05-2025,16:05:00,21.37,deposit,tablet,Singapore,Asia,57.82.234.139,1,0,0,0.87,66,72,630,107.25,361.91,5.5562,-0.822782224,0
09-06-2025,15:50:00,34.39,withdrawal,tablet,France,Europe,145.57.199.183,1,0,0,0.61,62,150,727,85.67,88.15,26.8242,-0.713155853,0
29-06-2025,00:40:00,50.2,transfer,desktop,Argentina,South America,134.220.208.7,1,0,0,0.7,29,82,851,94.38,534.46,30.12,-0.580038116,0
21-05-2025,14:45:00,22.11,withdrawal,mobile,South Korea,Asia,147.191.172.231,1,0,0,0.63,45,162,313,83.68,943.8,16.3614,-0.81655154,0
03-04-2025,08:08:00,104.57,transfer,mobile,Saudi Arabia,Middle East,25.126.160.26,1,0,0,0.83,70,23,141,82.26,234.9,35.5538,-0.122251187,0
03-04-2025,15:15:00,444.85,purchase,mobile,Indonesia,Asia,63.228.147.44,1,1,0,0.92,32,28,250,109.8,128.75,72.176,2.742853397,0
18-02-2025,01:28:00,171.99,transfer,mobile,United States,North America,176.86.109.63,1,1,0,0.38,25,169,990,2.69,62.87,214.2676,0.445414709,0
20-03-2025,13:41:00,66.07,deposit,desktop,Mexico,North America,213.155.212.85,1,0,0,0.59,21,10,681,80.94,288.55,54.1774,-0.446415189,0
04-05-2025,13:32:00,0.54,transfer,desktop,France,Europe,203.5.43.188,1,0,0,0.7,48,52,114,68.99,86.13,0.324,-0.998167579,0
03-05-2025,14:35:00,45.1,withdrawal,mobile,South Korea,Asia,142.126.206.235,1,0,0,0.88,74,107,622,103.88,653.62,10.824,-0.622979321,0
17-03-2025,16:53:00,89.78,deposit,desktop,Brazil,South America,102.123.69.171,1,0,0,0.54,63,56,840,48.36,95.39,82.5976,-0.246780683,0
28-02-2025,11:20:00,47.03,withdrawal,mobile,Singapore,Asia,184.183.15.89,1,0,0,0.86,47,151,157,52.22,33.66,13.1684,-0.606729022,0
05-05-2025,22:31:00,14.12,purchase,desktop,South Korea,Asia,60.18.19.87,1,0,0,0.97,72,138,939,82.02,1347.91,0.8472,-0.883826095,0
25-06-2025,23:28:00,70.17,withdrawal,tablet,Indonesia,Asia,60.147.202.67,1,0,0,0.76,52,29,306,114.74,147.35,33.6816,-0.411893827,0
22-02-2025,15:34:00,35.04,withdrawal,desktop,South Korea,Asia,133.117.99.233,1,0,0,0.81,23,174,562,150.16,320.22,13.3152,-0.707682954,0
09-04-2025,23:00:00,287.93,withdrawal,mobile,Japan,Asia,96.181.44.48,1,0,0,0.74,55,41,815,123.89,92.63,149.7236,1.421611446,0
